,場所,スコア,口コミ
0,ノボルト（NOBOLT）,3.2,じゃらんnetで遊び体験済み夏で暑い為、室内での遊びを探したらたどり着きました！大満足でした！時間があるならまだ子供も遊びたかったみたいですが、時間上、2時間で終えましたが、4時間はいけます！又、暑い日や時間があるたきは利用したいです
1,ノボルト（NOBOLT）,4.3,じゃらんnetで遊び体験済み小学生子連れで来店。こちらは、3回目。暑い中、屋内で体を動かして遊べるところが少ないので、割高ですが、子どもは喜びました！受付のスタッフがニコリともせず、怒ってる感じでした。楽しい遊び場なので、笑顔おねがいしまーす
2,ノボルト（NOBOLT）,4.2,色んな方の口コミを見て大丈夫かなと心配だったけどスタッフの方はとても優しかったですし平日というのもあり予約せずにお昼から行きましたがすぐに入れました！また行きたいと思います！
3,ノボルト（NOBOLT）,3.9,じゃらんnetで遊び体験済みGW明けでしかも朝早かったため、人も少なく思いっきり遊べました。ただ、スタッフの方がいないところもあり、やや少ないかなという印象でした。これで混雑してたら、目が届いてないと思います。あと、もう少し安ければリピートもありかなと思いました。2時間で家族4人一万円はなかなか出せません。
4,ノボルト（NOBOLT）,4.2,じゃらんnetで遊び体験済みじゃらんで予約しました。前日の予約でしたが希望の時間が割安で予約できました。受付に時間を取りますが2時間で家族３人楽しめました。「スタッフの対応に問題多し」との口コミがかなりあり不安でした～最初にトランポリンを希望し並びましたが、女性スタッフが、「空きがないのでしばらく待ってください」と言い無言でその場を離れ帰ってきませんでした～ビックリ！・・・・これかと思いガッカリしましたが、その他のスタッフさんは親切でしたので次の日もNOBOLTしました。
5,ノボルト（NOBOLT）,4.1,施設自体は楽しいと思うのですが、まず受付が手間取りすぎ。予約しているのに窓口についてから入場まで15分はかかりすぎだし担当の女性は感じも悪く若い男の子と話す方で忙しそう笑また付き添いプランで来ている人が普通にプレイしててもスタッフ誰も気付かないわ、ハーネスつけるだけで30分かかるわ‥。時間で料金とるならそこはスムーズじゃないと損した気分になります。
6,ノボルト（NOBOLT）,4.1,じゃらんnetで遊び体験済み予約の時間より30分早い集合となっており時間通りに着きましたがまず予約をしていても受付するのに30分すぎてハーネスを着けるためにさらに40分行列待ち…なので遊び始めれたのは、予約時間より40分すぎてから…2時間しかない予約の中で40分もハーネスを着けるための列に並び、、実質遊べたのは1時間20分くらいでした…子供達は楽しかったようでまだ遊び足りない感じでした。集合時間も合わせれば1時間以上準備にかかるので、そんなに安い料金な訳でもないので少しもったいなく感じました…。
7,ノボルト（NOBOLT）,4.1,今回じゃらんで予約して行きました。クーポンとポイントでかなりお安く行くことが出来て良かったです。それに当日券の列は凄い列で予約してた方はスイスイと行けてホント良かったです。9歳の娘もかなり満足してて2時間じゃ足りなかったみたいで次は3時間コースで！と言ってました。口コミにあるスタッフの件…言うほど悪くはなかったです。
8,ノボルト（NOBOLT）,4.1,じゃらんnetで遊び体験済み高校生、中学生、小学生の子供を連れていきました。受け付けの対応はイマイチです。他のスタッフ、特に男性のスタッフは親切でした。子供がジュースをこぼしてしまい、拭こうとしてましたが、すぐに声をかけて頂き清掃をしてくださいました。
9,ノボルト（NOBOLT）,4.1,店員の態度が悪すぎた。受付に並んでいたら、そこでは無いと注意されたので並び直した。しかし看板には自分の並んでいる場所が正しいように書かれていた。受付のときに、その店員(同じ人)に聞いてみると、「あなたが理解していないだけ」「本当なら、もう一度並んでもらいます」など、言われたあと、ボソボソと陰口のような嫌味も言われた。仕事が忙しいのは分かるが、さすがにそれはだめでしょ。もう行きません。
10,ノボルト（NOBOLT）,3.2,じゃらんnetで遊び体験済み20代の夫婦2人で行きましたが、とっても楽しめました。トランポリンの横にある綱渡りも成功してとても嬉しかったです。店内なので雨の日でも関係なく楽しめました！
11,ノボルト（NOBOLT）,4.3,じゃらんnetで遊び体験済み子供が大満足していました。ただ、高いです。ポイントとクーポンがあったので良かったですが、正規の支払いは負担が大きいので、なかなか行けなさそうです。
12,ノボルト（NOBOLT）,4.2,楽しめる施設だと思います。ハーネスを使う人と使わない人で違うプランがあるといいな。110センチ以上で学生プランとなりますが、連れて行った幼稚園児と高い場所苦手な小学生はハーネス使いませんので高額に感じました。ハーネスなしの部分だけで2時間2000円くらいで遊べるならもっと気軽に行けるかなと。
